,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Time,Symbol,Side,Quantity,Order Type,Average Cost,Stop Loss,Take Profit
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:32:25,SPY,BUY,5,LMT,5,293.0,298.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12:32:25,SPY,BUY,5,LMT,5,293.0,298.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12:32:25,SPY,BUY,5,LMT,5,293.0,298.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12:32:25,SPY,BUY,5,LMT,5,293.0,298.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12:32:25,SPY,BUY,5,LMT,5,293.0,298.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12:32:25,SPY,BUY,5,LMT,5,293.0,298.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,12:32:25,SPY,BUY,5,LMT,5,293.0,298.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12:32:25,SPY,BUY,5,LMT,5,293.0,298.0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,12:34:31,SPY,BUY,5,LMT,5,293.0,298.0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,12:35:05,SPY,BUY,5,LMT,5,293.0,298.0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,12:35:24,SPY,BUY,5,LMT,5,293.0,298.0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,12:37:14,SPY,BUY,5,LMT,5,293.0,298.0
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,12:52:14,SPY,BUY,10,MKT,5,293.0,298.0
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,12:52:37,SPY,BUY,10,MKT,5,293.0,298.0
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,14:46:31,SPY,BUY,5,MKT,5,,
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,14:50:39,SPY,BUY,5,MKT,5,,
16,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,15:20:04,SPY,BUY,10,MKT,5,,
17,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,15:20:08,SPY,BUY,10,MKT,5,,
18,18.0,18.0,18.0,18.0,,,,,,,,,,,,15:20:12,SPY,BUY,10,MKT,5,,
19,19.0,19.0,19.0,,,,,,,,,,,,,15:25:02,SPY,BUY,10,MKT,5,,
20,20.0,20.0,,,,,,,,,,,,,,15:25:06,SPY,BUY,10,MKT,5,,
21,21.0,,,,,,,,,,,,,,,15:25:11,SPY,BUY,10,MKT,5,,
22,,,,,,,,,,,,,,,,15:25:15,SPY,BUY,10,MKT,5,,
