,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Average Cost,Order Type,Quantity,Side,Stop Loss,Symbol,Take Profit,Time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,MKT,5,BUY,,SPY,,13:17:56
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,MKT,5,BUY,,SPY,,13:17:56
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5,MKT,5,BUY,,SPY,,13:17:56
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5,MKT,5,BUY,,SPY,,13:17:56
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,MKT,5,BUY,,SPY,,13:17:56
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,MKT,5,BUY,,SPY,,13:17:56
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5,MKT,5,BUY,,SPY,,13:17:56
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5,MKT,5,BUY,,SPY,,13:17:56
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,5,MKT,5,BUY,,SPY,,13:23:08
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,5,MKT,5,BUY,,SPY,,13:23:18
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,5,MKT,5,BUY,,SPY,,13:23:27
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,5,MKT,5,BUY,,SPY,,13:24:37
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,5,MKT,5,BUY,,SPY,,13:24:46
13,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,5,MKT,5,BUY,,SPY,,13:25:54
14,14.0,14.0,14.0,14.0,14.0,,,,,,,,5,MKT,5,BUY,,SPY,,13:26:03
15,15.0,15.0,15.0,15.0,,,,,,,,,5,MKT,5,BUY,,SPY,,13:27:15
16,16.0,16.0,16.0,,,,,,,,,,5,MKT,5,BUY,,SPY,,13:27:24
17,17.0,17.0,,,,,,,,,,,5,MKT,5,SELL,,SPY,,13:29:14
18,18.0,,,,,,,,,,,,5,MKT,5,SELL,,SPY,,13:29:23
19,,,,,,,,,,,,,5,MKT,5,SELL,,SPY,,13:29:32
